外交史	21589
上修	36690
殉职	38128
格竹	25457
城内	1894
威风凛凛	6398
千金	27381
要运	30448
初级	25092
做点	16664
一长	13320
如尔	3632
长戈	2781
法度	43682
死地	5229
精到	34689
乱仗	17650
从哲	41009
向来	6341
失察	24905
搞臭	27831
选定	3245
往人	5003
天兵	36775
绝学	20278
白得	26461
放过	2608
善待	1831
集备	41369
大学校园	36546
一个天	25442
人算不如	34343
扛着	37776
比武	18938
木屐	42309
麻叶	32069
举止	3552
十倾地	38981
肉酱	14584
右谕	34692
高度评价	23317
烟	37018
妇人之仁	5196
客	32459
一脱	26818
劳斯莱斯	36041
洗雪	14685
深刻	1359
沉重	1113
即身	42181
石碑	42422
不爱交	35423
毫无动静	3920
小路	6675
里程碑式	24811
说声	44272
收益率	39113
主事箫仪	16517
故土	17201
生殖	11778
无表情	23947
黑雾	33344
冲入	10686
所言	24909
即破	41060
斗败	24099
恐惧	1031
着火	27426
诬	29135
通行	9128
精良	5692
弥	21918
制胜之道	29599
远来	17225
以礼相待	21910
维贤拉住	40931
必戮	38922
大哉	7305
跑不了	29003
积水	35266
一品夫人	44491
挨顿	29238
潘	13582
玩个	43915
十几里	21930
他活	16262
妥善解决	39611
这写	29846
小时	4524
久而久之	7820
禅寺	3474
遗直	40948
三皇五帝	8772
护理	12384
魔鬼	36309
抬回	14310
螺丝刀	35672
当猴	43773
掌管	8846
微弱	439
强压	23525
金甲	38121
纸笔	9681
确山	44930
老朋友	6290
识大体	5404
眉州	24255
泛后	24213
吴语	17675
楼船	5123
朝臣	15896
体态	19301
卑贱	11729
登基	2658
之而后快	27701
只改	35598
违背良心	32236
津津有味	23165
一句	1175
压箱底	44676
能加	38898
相良	38586
忽兰	17876
十二年	273
一二	32749
张彩	25896
停手	13478
唐	9800
红权	19749
六神无主	15030
谦实	22990
冷清	23067
吧台	36045
倒头	6707
走远	20409
档次	7528
漳州	33148
先行一步	27819
无功而返	42585
第七天	3355
重病缠身	19206
千回百转	36245
外戚	10905
风波	12667
折色	9173
愣头青	33142
匆匆忙忙	24285
中一	21572
87	5829
刘安	21283
卓敬气	12966
第三十章	14588
汪直	19771
狼狈为奸	25107
吹得	37107
可大可小	33349
六册	32881
不操	28941
情绪低落	14620
史	314
猛人	4100
两次	2045
不让	1349
殷正茂	33997
好汉不吃眼前亏	26457
趋势	27337
徐	20675
输过	36782
肌肉男	32740
没交过	31855
天天	1719
梁廷栋	43865
二十八年	11670
忧心忡忡	25485
剧烈	31169
芸芸众生	11386
权欲熏心	15726
留下来	13464
原始社会	35202
向前	1197
十余位	39016
外客	13163
水土不服	10779
闯将	44579
镇原	44543
冥顽不灵	38360
袖子	12502
低能儿	42058
新西兰	45749
家破人亡	1117
额	41082
王振有	20433
各民军	44470
站立	4146
功不可没	5984
眼看	4868
城上	4321
问诊	34850
涨潮	33161
先查	33086
兵营	6659
加紧	15627
水粉	32044
公习	30104
打醒	21676
告状	9458
青少年	18473
命去	26105
操心	25679
就判	43409
幼儿园	11795
会输	36843
湮灭	15605
多花	43570
相见恨晚	10143
扒手	26766
金字塔	16135
划分	7527
誓	3150
复起	22993
满桂比	41412
佩戴	11448
攻下	2253
必可得	20629
黑手	2484
收手	21778
古迹	35537
不许	4018
印玺	10738
碰见	12749
偏好	16390
外史	36928
远古	12926
即张	29938
以诚相待	28045
重权	11397
过不下去	18436
短短几天	42018
刚进宫	19718
失策	3915
保甲	26660
派	3007
人比	15874
上衣	30241
只字不提	38230
状	9461
怎样才能	17158
之患	27256
编纂	16308
念出	29652
怒骂	30738
削去	8857
贰	15348
武士刀	17211
能活	4462
愤恨	42872
三品	7622
嫌疑人	8606
崇奉	22224
瞧	30372
村子	8683
心里有底	38319
想不通	1354
入学	18319
萧何	7905
总经理	18911
有序	16092
